wl,mm,ml,fat,skin
673.0140381,0.022765487,0.022765487,0.003073345,0.149802015
674.0310059,0.022667468,0.022667468,0.003017142,0.149434238
675.0477295,0.022676904,0.022676904,0.002998936,0.149621994
676.0640259,0.022642686,0.022642686,0.003010106,0.149294973
676.9349365,0.022536196,0.022536196,0.002984527,0.148666512
677.9507446,0.022585859,0.022585859,0.003028184,0.148754921
678.9661865,0.022553315,0.022553315,0.002974578,0.148858252
679.9812622,0.022562338,0.022562338,0.002996501,0.148784053
680.9960938,0.02243479,0.02243479,0.002919185,0.148332457
682.0105591,0.022473587,0.022473587,0.002989106,0.14817047
683.0247192,0.022434387,0.022434387,0.002963491,0.148043626
684.0385132,0.022426298,0.022426298,0.002952286,0.148055645
685.052063,0.022399426,0.022399426,0.00291811,0.14807589
686.0652466,0.022338748,0.022338748,0.002892746,0.147787394
686.9334106,0.022369442,0.022369442,0.00289046,0.14803085
687.9459839,0.022321799,0.022321799,0.002893425,0.147656725
688.958252,0.022270021,0.022270021,0.002842168,0.147601585
689.9702148,0.022366826,0.022366826,0.002958434,0.147572848
690.9818115,0.022243313,0.022243313,0.0029329,0.146817256
691.993103,0.022236066,0.022236066,0.002928056,0.146794513
693.0040283,0.022173307,0.022173307,0.002882695,0.146619517
694.0146484,0.022199889,0.022199889,0.002960022,0.146318736
695.0249634,0.022142996,0.022142996,0.002906618,0.146239334
696.0349121,0.022177114,0.022177114,0.00289965,0.146538504
697.0445557,0.022214448,0.022214448,0.002959307,0.146431829
698.053894,0.02212748,0.02212748,0.002891307,0.146222492
699.0628662,0.022177403,0.022177403,0.002960322,0.146149251
700.0715332,0.022072881,0.022072881,0.002889868,0.145824951
700.935791,0.022046309,0.022046309,0.002881806,0.145678976
701.9438477,0.02205796,0.02205796,0.002920365,0.145517032
702.9515381,0.02202399,0.02202399,0.002933759,0.145177513
703.9589233,0.021978205,0.021978205,0.002970806,0.144597367
704.9660034,0.022120392,0.022120392,0.002979325,0.145601865
705.9726563,0.021831666,0.021831666,0.002878414,0.144101521
706.9790649,0.021945575,0.021945575,0.002938899,0.144560076
707.9851074,0.021985893,0.021985893,0.002963552,0.144701445
708.9907837,0.021947162,0.021947162,0.002908661,0.144766971
709.9961548,0.021863262,0.021863262,0.002912965,0.144114055
711.0012207,0.021862433,0.021862433,0.00290516,0.14415823
712.0059204,0.021856266,0.021856266,0.00290176,0.144134207
713.0103149,0.021828818,0.021828818,0.002898323,0.143951864
714.0143433,0.021815423,0.021815423,0.002881614,0.143959846
715.0180054,0.021764836,0.021764836,0.002848536,0.143796308
716.0213623,0.02177215,0.02177215,0.002911973,0.143441564
717.024353,0.021686092,0.021686092,0.002859217,0.143140668
718.0270386,0.021684918,0.021684918,0.002845697,0.143219138
719.0294189,0.021761244,0.021761244,0.002919739,0.143310202
720.0313721,0.021666237,0.021666237,0.002871829,0.142911372
721.03302,0.021750145,0.021750145,0.002933018,0.143141841
722.0343628,0.021675127,0.021675127,0.002924708,0.142636481
723.0353394,0.021681634,0.021681634,0.002931937,0.142638327
724.0359497,0.021644759,0.021644759,0.002908263,0.142516289
725.0362549,0.021631061,0.021631061,0.002932947,0.142254991
726.0361938,0.021658915,0.021658915,0.002991396,0.14208547
727.0358276,0.021731634,0.021731634,0.00305171,0.142238213
728.0350952,0.021662664,0.021662664,0.003023377,0.141907089
729.0339966,0.021727001,0.021727001,0.003077559,0.142036937
730.0325928,0.021765454,0.021765454,0.003167774,0.141741469
731.0308228,0.021745142,0.021745142,0.003113792,0.141938363
732.0286865,0.021748362,0.021748362,0.003187762,0.141485164
733.0262451,0.02177106,0.02177106,0.003252058,0.141239511
734.0234375,0.021838278,0.021838278,0.003322578,0.14128543
735.0202637,0.021827728,0.021827728,0.003329312,0.141163378
736.0167847,0.021996664,0.021996664,0.003438915,0.141715079
737.0129395,0.021972497,0.021972497,0.003503872,0.141115963
738.008728,0.022045768,0.022045768,0.003588512,0.141115891
739.0042114,0.022194448,0.022194448,0.003744758,0.141215756
739.9993286,0.022362461,0.022362461,0.003872581,0.141643043
740.9940796,0.022316784,0.022316784,0.003913442,0.141039099
741.9884644,0.022270087,0.022270087,0.003901632,0.140767344
742.9825439,0.022292252,0.022292252,0.003933644,0.140725981
743.9762573,0.02235156,0.02235156,0.003940516,0.141123567
744.9696045,0.022351311,0.022351311,0.00386486,0.141609775
745.9625854,0.021847897,0.021847897,0.003651169,0.13923732
746.9552612,0.021511758,0.021511758,0.003230594,0.139445886
